id,title,year,venue,n_citation,in_degree
4ffc1c2f-9057-4060-8429-67aa079543b5,The effect of network topology on the spread of epidemics,2005,international conference on computer communications,585,150
51429915-a7ec-4269-a957-13e46ceef446,Comparison between Vertical Handoff Decision Algorithms for Heterogeneous Wireless Networks,2006,vehicular technology conference,465,78
53649a4b-3941-4221-ae31-c0334a1cfac4,Using automatic clustering to produce high-level system organizations of source code,1998,international conference on program comprehension,510,123
548f8efe-f694-4ca0-98aa-42346d8ad0ff,Continuous Time Dynamic Topic Models,2012,uncertainty in artificial intelligence,323,77
55298a9c-16b3-4986-be7e-0e5524ba46c7,Understanding deep image representations by inverting them,2015,computer vision and pattern recognition,126,111
590cb1d5-5d01-4fff-88ef-5be71660e1a4,Efficiently publishing relational data as XML documents,2001,very large data bases,503,80
59f65a51-1d21-4f56-9224-88409829a12b,Within-class covariance normalization for SVM-based speaker recognition.,2006,conference of the international speech communication association,401,102
5a2676c4-ba08-4c32-b834-1d91f8345950,Secret-key reconciliation by public discussion,1994,theory and application of cryptographic techniques,641,59
5a34af3b-d06f-4852-9c5d-4f44935b0579,Statistical identification of encrypted Web browsing traffic,2002,ieee symposium on security and privacy,347,88
5be83099-f03c-46fa-9e3d-2eb6302713fa,Image indexing using color correlograms,1997,computer vision and pattern recognition,2285,316
5fa79bc6-4203-442f-a3e8-99abe8bd542a,Cost-aware WWW proxy caching algorithms,1997,,1294,254
6421b691-4ea2-4b53-9705-64cd5ca65d7d,Object detection by contour segment networks,2006,european conference on computer vision,1281,303
64ddd0ee-3e48-4e96-b2a3-221308491d00,Effect of Information Systems Resources and Capabilities on Firm Performance: A Resource-Based Perspective,2005,Journal of Management Information Systems,1065,65
678bb811-ccee-4948-9de8-57ab22107669,Delay efficient sleep scheduling in wireless sensor networks,2005,international conference on computer communications,352,79
686c5563-3f13-4744-ac6d-1020e39953bf,The origin of power laws in Internet topologies revisited,2002,international conference on computer communications,614,101
6ccbfbd5-8fdc-40a1-9c42-042a4e54d34a,Reading Text in the Wild with Convolutional Neural Networks,2016,International Journal of Computer Vision,79,77
6d2143a4-1b13-4c5b-afab-605ca31ddb84,Chameleon hashing and signatures,1998,,610,3
6eaf7fd7-d051-4641-b614-c69ca1e53354,Deep Speech: Scaling up end-to-end speech recognition,2014,arXiv: Computation and Language,438,98
6fb08922-0939-49a5-b9ee-5d3f0733cc25,"Non-orthogonal multiple access for 5G: solutions, challenges, opportunities, and future research trends",2015,IEEE Communications Magazine,80,78
6fc1e758-540b-49ba-825e-5e6c80bdf35b,Towards trusted cloud computing,2009,ieee international conference on cloud computing technology and science,692,95
7141d587-ec43-4c00-b453-4bb37b1e6e07,A Trigonometric Mutation Operation to Differential Evolution,2003,Journal of Global Optimization,523,82
715a016d-a243-4933-922f-eed858974305,Beyond short snippets: Deep networks for video classification,2015,computer vision and pattern recognition,633,119
7254817f-b82c-480f-b031-73c17fe7fc0d,Probabilistic Routing in intermittently connected networks,2004,Lecture Notes in Computer Science,1084,41
72640ec0-e5e8-4b68-9508-f8a7edfcc343,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs,2015,international conference on learning representations,588,345
75ab9799-c1e1-4de1-92f9-f4d0ea06962a,A Neural Algorithm of Artistic Style,2015,Nature Communications,365,89
75ec0b95-65c5-48c9-ae1b-a44c6c378bec,Naive (Bayes) at Forty: The Independence Assumption in Information Retrieval,1998,Lecture Notes in Computer Science,1144,291
76361c48-9dc2-4c1a-b008-206f76eeb50a,Empirical Evaluation of Gated Recurrent Neural Networks on Sequence Modeling,2014,arXiv: Neural and Evolutionary Computing,1178,192
788cf345-316a-4b31-8c20-6f56f8f0f177,Comparison between Genetic Algorithms and Particle Swarm Optimization,1998,Lecture Notes in Computer Science,1886,138
7ab6ec26-b855-4299-a853-8fc28c2ae83b,AttrakDiff: Ein Fragebogen zur Messung wahrgenommener hedonischer und pragmatischer Qualität,2003,,638,65
7e818da1-ec5a-4944-8c01-5b0a673a48ba,An Efficient Protocol for Authenticated Key Agreement,2003,"Designs, Codes and Cryptography",637,63
7f300162-8b37-4788-9439-8ce9b4d3d550,Patterns of engagement in authentic online learning environments,2003,Australasian Journal of Educational Technology,754,8
7f573edf-aacb-4e87-9169-d26ab6408bbf,Influence and passivity in social media,2011,european conference on principles of data mining and knowledge discovery,617,26
7f5a7b12-0bc9-4fb1-a1c7-d31d91aaf86c,XWRAP: an XML-enabled wrapper construction system for Web information sources,2000,international conference on data engineering,708,92
7f60f284-50e8-4bf3-92c5-db7ef4975434,Rule Induction with CN2: Some Recent Improvements,1991,,998,146
81e0bb5c-07cd-417b-b532-534ccc9eff7d,Developing a test collection for the evaluation of integrated search,2010,european conference on information retrieval,736,176
81ed10be-b192-4035-ad1e-5f77ecb2b751,The lumière project: Bayesian user modeling for inferring the goals and needs of software users,1998,uncertainty in artificial intelligence,977,132
82403271-b210-4ec3-8729-057ac21ed7bc,Group Sparse Beamforming for Green Cloud-RAN,2014,IEEE Transactions on Wireless Communications,221,79
8310bc82-5e50-4759-8ec8-42a7d858f310,On the approximability of trade-offs and optimal access of Web sources,2000,foundations of computer science,433,85
83335fcd-de93-4a9e-94c3-f5f3bcc1c5da,An improved deep learning architecture for person re-identification,2015,computer vision and pattern recognition,165,93
884d3b81-c401-4836-8443-5ff4439711fe,Chained declustering: a new availability strategy for multiprocessor database machines,1990,international conference on data engineering,381,83
8b32d067-ba0b-4513-a2fb-020d59aa58dd,The fast affine projection algorithm,1995,"international conference on acoustics, speech, and signal processing",485,80
8b7bc6bb-761a-42f1-bba0-f0fd4a28a0c2,Importing Documents and Metadata into Digital Libraries: Requirements Analysis and an Extensible Architecture,2002,european conference on research and advanced technology for digital libraries,573,1
8e04c745-1a91-4319-b0c1-f7016e7bfd8b,Scan chain design for test time reduction in core-based ICs,1998,international test conference,280,78
8ea91ca5-2b11-4e05-bcdb-95031e886e33,From captions to visual concepts and back,2015,computer vision and pattern recognition,168,140
8f81e4cf-fdf4-4828-b503-aa86985fc363,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,2010,arXiv: Learning,252,103
90a5f570-c407-4d58-9097-34206275d434,Deep neural networks are easily fooled: High confidence predictions for unrecognizable images,2015,computer vision and pattern recognition,95,84
920900f6-d724-41fd-9485-5bdcea273174,A motivational model of microcomputer usage,1996,Journal of Management Information Systems,1095,80
94bda6d8-0d93-4ad6-970e-9628120b7250,VQA: Visual Question Answering,2015,international conference on computer vision,572,142
94df3482-e3e2-4c0b-94d8-ed5814eee0c4,Fitness Distance Correlation as a Measure of Problem Difficulty for Genetic Algorithms,1995,,765,138
97211b46-a46d-4886-912e-138333aa50bc,Maximum Entropy Markov Models for Information Extraction and Segmentation,2000,international conference on machine learning,1444,328
97233a1c-326d-45da-abdf-06c8fb366ed2,Expectation Propagation for approximate Bayesian inference,2001,uncertainty in artificial intelligence,1208,266
9735980d-18cd-475d-8605-23b493d4e406,Improved backing-off for M-gram language modeling,1995,"international conference on acoustics, speech, and signal processing",1237,326
97539402-79cb-4b16-909a-e0057578cabf,A Stubborn Attack On State Explosion,1990,computer aided verification,685,23
988562a7-9b59-4ea5-867d-9bd21db60cc6,A convolutional neural network cascade for face detection,2015,computer vision and pattern recognition,339,85
99107c4f-3eb3-4ef6-b8fc-c495714c99b0,On discovering moving clusters in spatio-temporal data,2005,symposium on large spatial databases,409,89
a1961ee8-6afe-4955-823f-8a6e1b75c441,Reasoning and revision in hybrid representation systems,1990,,724,50
a30d71b4-5f90-411e-8178-af5544645ab6,A Graph-Oriented Model for Articulation of Ontology Interdependencies,2000,extending database technology,534,45
a3c214f2-18d8-47be-9b1c-e4c51b756714,An Improvement of McMillan's Unfolding Algorithm,1996,tools and algorithms for construction and analysis of systems,604,47
a3d5f05d-8a5c-48f9-95bd-8fc746553139,MAPRM: a probabilistic roadmap planner with sampling on the medial axis of the free space,1999,international conference on robotics and automation,350,81
a4bf574e-7a60-44ad-bc7f-52137b802678,"Energy-Efficient Management of Data Center Resources for Cloud Computing: A Vision, Architectural Elements, and Open Challenges",2010,parallel and distributed processing techniques and applications,566,73
a746b0a8-280e-48f2-9398-623fd163c8de,An analysis of Linux scalability to many cores,2010,operating systems design and implementation,333,78
a7da5f11-1302-4305-a67a-9503dea05eb7,Hierarchical Model-Based Motion Estimation,1992,european conference on computer vision,1344,342
a7ff965f-5ae7-49d9-b261-953d88c519f1,Character-aware neural language models,2016,national conference on artificial intelligence,85,84
a9a6fdfe-1f22-4400-8216-03225373614b,Techniques for requirements elicitation,1993,Requirements Engineering,542,76
a9ae8126-6b7d-4ad4-b81a-fb0a2f401a0c,Interconnection Networks: An Engineering Approach,1997,,2716,514
aa5184ec-0889-4f62-8aa3-7ee4edc51568,Computing and applying trust in web-based social networks,2005,,864,152
aaec1b04-6e63-4f17-933c-680398a89ed1,Enforcing performance isolation across virtual machines in Xen,2006,Lecture Notes in Computer Science,450,105
ab322abb-dcfe-4a7a-8dcd-970743b6f6f1,Stochastic dual coordinate ascent methods for regularized loss,2013,Journal of Machine Learning Research,202,131
ac38adc6-4b0b-48f5-b31b-ba050f4db43e,Clustered Multi-Task Learning: A Convex Formulation,2009,neural information processing systems,294,86
ad6bd9e7-88b8-46fb-bb08-5b47a7d80f4e,Retrieving collocations from text: Xtract,1993,Computational Linguistics,952,120
adb6664e-84c0-4b3e-8d7f-59a6c6536596,Onix: a distributed control platform for large-scale production networks,2010,operating systems design and implementation,991,215
add879c7-1764-497e-ab11-4632d65e1818,Distributed detection of node replication attacks in sensor networks,2005,ieee symposium on security and privacy,762,131
af96fd5a-b78a-4424-8e12-a854988fef6a,Sweetening Ontologies with DOLCE,2002,"knowledge acquisition, modeling and management",1165,136
b0f18f5b-c9fa-4bad-89fe-8dedbee0c0f6,"This computer responds to user frustration:: Theory, design, and results",2002,Interacting with Computers,552,91
b183a338-50d9-4195-b2d1-78243b3de3e8,Intrusion detection using sequences of system calls,1998,Journal of Computer Security,1667,233
b2559e2b-4870-444b-a63e-90fc33387955,The class imbalance problem: A systematic study,2002,intelligent data analysis,1632,305
b6c8bcad-70a8-4d76-82f7-109c0439a645,Communities in Networks,2009,Notices of the American Mathematical Society,827,110
ba090582-262b-4640-a5b3-714c472736ba,Camera Self-Calibration: Theory and Experiments,1992,european conference on computer vision,1296,186
bcd9e95e-b0bf-4932-98c8-426f9be1b6d2,Action recognition with trajectory-pooled deep-convolutional descriptors,2015,computer vision and pattern recognition,434,117
bd8245cd-deba-4254-b9bb-3340b1c35000,Larks: Dynamic Matchmaking Among Heterogeneous Software Agents in Cyberspace,2002,Autonomous Agents and Multi-Agent Systems,642,93
c06a0c9b-7284-416c-a514-fb6d6209273f,Explaining and Harnessing Adversarial Examples,2015,international conference on learning representations,255,118
c09e7e8c-7af4-43f2-ba40-e066ecf67e02,Energy detection of a signal with random amplitude,2002,international conference on communications,484,87
c106e5a6-c557-4514-853f-a90c20633f12,The Factor Structure of the System Usability Scale,2009,,153,77
c245b2ac-cfc7-4f98-a571-a4c3fb7111c7,A Hilbert Space Embedding for Distributions,2007,algorithmic learning theory,312,101
c6c351b4-eafe-4721-a4ed-98efa9ea95d8,NeTra: a toolbox for navigating large image databases,1997,international conference on image processing,1412,133
c70d7255-6afb-4c05-a549-8a76c59aeca2,Long-term recurrent convolutional networks for visual recognition and description,2015,computer vision and pattern recognition,457,404
c80e9649-41d7-42ff-a34b-dca6ae41ba30,CDD: a curated Entrez database of conserved domain alignments,2003,Nucleic Acids Research,792,23
c93abb4e-959f-49ad-8dd4-554a6c3e7d09,BRITE: an approach to universal topology generation,2001,modeling analysis and simulation on computer and telecommunication systems,1686,298
cb4f222c-a40f-49d4-8c68-96e591579022,ICrafter: A Service Framework for Ubiquitous Computing Environments,2001,ubiquitous computing,412,82
cb9226f0-c153-4c70-92c0-05d825e1b65a,Hypercolumns for object segmentation and fine-grained localization,2015,computer vision and pattern recognition,185,164
ccdefe89-9b16-4c22-8bb8-bd314ccad6e1,Unsupervised Learning of Models for Recognition,2000,european conference on computer vision,832,173
cd6fe0f5-0956-4bb5-8d66-0b5b564dc8e3,Inductive Definitions in the system Coq - Rules and Properties,1993,typed lambda calculus and applications,576,68
ce90adda-7c60-451f-a617-78822d4a5ef4,Person re-identification by Local Maximal Occurrence representation and metric learning,2015,computer vision and pattern recognition,520,126
cee83092-72c3-4ce0-a7a9-4b25ffcea331,Streaming-data algorithms for high-quality clustering,2002,international conference on data engineering,659,99
cf52dc9e-a934-4ce0-bfb0-e677c5649944,Autonomous Inverted Helicopter Flight via Reinforcement Learning,2006,international symposium on experimental robotics,567,39
cf6f6953-378f-44aa-9dfb-891c3d07568c,Physical Layer Network Coding,2007,arXiv: Information Theory,1066,205
d080bd80-cc20-46a3-90fc-8f694bf51bf8,A discriminative CNN video representation for event detection,2015,computer vision and pattern recognition,124,111
d105c754-f20c-46f3-8062-5328aa9e2b50,Effective preprocessing in SAT through variable and clause elimination,2005,theory and applications of satisfiability testing,661,136
d1df3555-1aab-4829-9900-276b93162bff,"A general framework for motion segmentation: independent, articulated, rigid, non-rigid, degenerate and non-degenerate",2006,european conference on computer vision,427,125
d26da9ff-da57-4dc6-b4f1-0cf73cb2e04e,Vertical Handoffs in Wireless Overlay Networks,1998,Mobile Networks and Applications,990,166
d285cffc-b94d-4f81-bb6a-51ca70d95f75,Motion segmentation and tracking using normalized cuts,1998,international conference on computer vision,427,98
d2d3014e-40d4-4690-9d5d-38733187a274,Hierarchical recurrent neural network for skeleton based action recognition,2015,computer vision and pattern recognition,294,84
d3045079-6d4f-4c42-bfad-ce14b9bd69e7,"Deeply learned face representations are sparse, selective, and robust",2015,computer vision and pattern recognition,98,90
d457d63c-6216-44e3-94f0-79567ab5b72e,Visualizing and Understanding Recurrent Networks,2015,arXiv: Learning,298,77
d4877b94-add8-4295-b918-79a291d265b8,Using WordNet to measure semantic orientations of adjectives,2004,language resources and evaluation,698,114
d6051539-f3ed-44f6-a9b9-478118c2a45d,A methodology for detection and estimation of software aging,1998,international symposium on software reliability engineering,323,77
d654d8f8-45e8-42ee-ace3-b40d034fc31c,Iterative Computer Algorithms with Applications in Engineering: Solving Combinatorial Optimization Problems,1999,IEEE Computer Society,576,34
d84fcab0-dfc0-4b3c-9064-1530c26143f5,Evolving software product lines with aspects: an empirical study on design stability,2008,international conference on software engineering,388,95
d95f9440-2a98-48c7-a464-922286a55d10,Improving the resolution performance of eigenstructure-based direction-finding algorithms,1983,"international conference on acoustics, speech, and signal processing",856,154
dcdab068-ebc3-4923-bf6e-489a3cea5ed3,Random k-Labelsets: An Ensemble Method for Multilabel Classification,2007,,545,113
df4bbccc-151a-4e2e-a62a-c25e6db9e6ee,Lessons from a dozen years of group support systems research: a discussion of lab and field findings,1996,Journal of Management Information Systems,809,132
dfbf7e72-2fe7-496d-83d7-adbce6c6790f,Event history analysis with Stata,2007,,2794,1
e09d1b46-2b09-468d-9967-113769c4d39b,The measurement of end-user computing satisfaction,1988,Management Information Systems Quarterly,615,234
e0cc534b-e7d4-4b82-976d-1739f0392c14,Constructing Biological Knowledge Bases by Extracting Information from Text Sources,1999,intelligent systems in molecular biology,546,138
e13815ea-9ded-48df-8934-d355be1da60c,Putting Auction Theory to Work,2004,,1853,110
e201aead-709d-4ad8-82f1-e58ced12c080,Learning to compare image patches via convolutional neural networks,2015,computer vision and pattern recognition,275,90
e3f27652-688a-457b-ad96-07a7e3c05543,"Data Mining Techniques: For Marketing, Sales, and Customer Support",1997,,413,156
e41c1620-5347-4557-9c5d-6b9f2cef16f2,Timing analysis of keystrokes and timing attacks on SSH,2001,usenix security symposium,508,114
e4de3243-9d16-4fef-ad76-c388fe41240e,Stochastic Gradient Descent Tricks,2012,,314,79
e5885a35-e453-4a23-827f-c7d356293eb8,Energy analysis of public-key cryptography for wireless sensor networks,2005,ieee international conference on pervasive computing and communications,928,140
e695815c-3820-4d04-890c-40828745d56b,CIDEr: Consensus-based image description evaluation,2015,computer vision and pattern recognition,106,88
e75d8e62-a86d-4241-953f-1b315005d920,Introduction to Modern Information Retrieval,1986,,20878,1944
e7ad5317-8580-47c8-82f3-9dff19d3e5f8,Learning mixtures of Gaussians,1999,foundations of computer science,570,132
e8f0f207-d90f-404f-9808-e5eeb489d344,Understanding the Elusive Black Box of Dynamic Capabilities,2011,Decision Sciences,531,22
eaba2098-6c07-4cd5-9e65-51a9f4b5be33,A new end-to-end probing and analysis method for estimating bandwidth bottlenecks,2000,global communications conference,629,126
eb02194b-fa72-4f3e-a259-1dd36cd4839d,"PAST: a large-scale, persistent peer-to-peer storage utility",2001,ieee international conference on requirements engineering,970,128
eda95fbf-0e3a-480f-9f82-d83d3f76ae65,What Makes for Effective Detection Proposals,2016,IEEE Transactions on Pattern Analysis and Machine Intelligence,116,103
ef4c3191-61a3-4cfd-b8d2-7e37bf452626,Software-reliability-engineered testing practice (tutorial),1997,international conference on software engineering,591,1
efdc18b1-6a53-49f7-8feb-662406891297,The potential for using thread-level data speculation to facilitate automatic parallelization,1998,high-performance computer architecture,392,98
f00ec039-e6d1-45e2-a558-7f7c46872c3b,"What does classifying more than 10,000 image categories tell us?",2010,european conference on computer vision,434,99
f0e18bea-4d16-474d-a91f-68ee9ba6ba0e,"What Is This ""Peer-to-Peer"" About?",2005,,636,9
f237dee8-30cc-4e71-b424-541bab6835d1,Auto-Encoding Variational Bayes,2014,international conference on learning representations,752,340
f3396477-6279-4a16-acdf-2841cb84ec38,Modal I/O automata for interface and product line theories,2007,european symposium on programming,240,78
f56e9674-bcda-4304-b15a-7ce08398f52d,Scalable pattern matching for high speed networks,2004,field-programmable custom computing machines,249,96
f6779f97-9495-4387-b68c-e5fd5cf3462f,Autocalibration and the absolute quadric,1997,computer vision and pattern recognition,688,118
fa426261-b4df-46f9-850e-000fe1a5ce6a,Is anybody out there?: antecedents of trust in global virtual teams,1998,Journal of Management Information Systems,2289,202
fafc3751-a363-4c4d-9008-b6fcf15d6de4,A Tutorial on UPPAAL,2004,formal methods,1762,245
fcfae7b3-bfce-425c-b50c-5077f9bd11f1,A Petri net-based model for web service composition,2003,australasian database conference,948,136
fd2aae5b-ea35-48da-a36a-ce374d2a0717,Multi-document Summarization via Budgeted Maximization of Submodular Functions,2010,north american chapter of the association for computational linguistics,220,77
fd684612-48fc-4cbc-bc5d-2fb70d9ab134,Quantum-inspired genetic algorithms,1996,,554,57
fe9f9568-35a4-4abe-a469-a37d8fb43947,Computationally private information retrieval with polylogarithmic communication,1999,theory and application of cryptographic techniques,564,85
ff8da0e3-b593-4a58-9d02-079dc3fc0c5d,An Overview of OntoClean,2009,,561,75
000684a6-022c-4243-8299-fbc40229f231,Interval graphs and interval orders,1985,Discrete Mathematics,683,11
0021b3d5-5ba8-4675-acce-3eb781f36540,The structure of ill structured problems,1973,Artificial Intelligence,2710,81
002ab882-8ba0-485c-8a7a-a0176b805a60,A framework for spatiotemporal control in the tracking of visual contours,1993,International Journal of Computer Vision,501,100
003bd7e0-0dfd-451a-b22b-00c07b2648b9,Localizing Parts of Faces Using a Consensus of Exemplars,2013,IEEE Transactions on Pattern Analysis and Machine Intelligence,546,51
004050d0-c5b4-4721-bd2c-f13b8ca8dcb5,"Power, politics, and MIS implementation",1983,Communications of The ACM,2843,250
0047b2cf-bd19-4f8a-979e-ef5cc5b4a43f,A survey of image registration techniques,1992,ACM Computing Surveys,5575,602
00491bda-aedf-4041-9607-e05de9e41828,Feature selection based on rough sets and particle swarm optimization,2007,Pattern Recognition Letters,678,91
00547759-0499-41f2-ae1f-5bc14bf384f9,Controllability of Multi-Agent Systems from a Graph-Theoretic Perspective,2009,Siam Journal on Control and Optimization,539,91
00883430-2a3d-4c5d-8a7d-46ede38ba2e4,Interior Point Methods in Semidefinite Programming with Applications to Combinatorial Optimization,1995,Siam Journal on Optimization,286,112
00b04479-dab4-4127-a7ea-15d22a16de99,HTN planning for Web Service composition using SHOP2,2004,Journal of Web Semantics,925,185
00be2cf8-d3d9-4136-9bfc-d0e50e623524,"GEPASI: a software package for modelling the dynamics, steady states and control of biochemical and other systems",1993,Bioinformatics,774,42
00c6c059-61db-4a57-bab3-7074859944a7,"The Delphi method as a research tool: an example, design considerations and applications",2004,Information & Management,1931,61
00c864fe-60bc-437a-9f62-9c666cb468e0,MatConvNet: Convolutional Neural Networks for MATLAB,2015,acm multimedia,401,367
00d09c0d-3f8b-4045-9464-00e171e0e39b,TestU01: A C library for empirical testing of random number generators,2007,ACM Transactions on Mathematical Software,731,79
00db237e-21bd-4622-8233-08fdfd645447,Qualitative Reasoning: Modeling and Simulation with Incomplete Knowledge,1995,Computers in Physics,798,82
00e17dcb-6e2a-4a45-b89b-00fa7e1ef77e,Label Consistent K-SVD: Learning a Discriminative Dictionary for Recognition,2013,IEEE Transactions on Pattern Analysis and Machine Intelligence,580,201
00e6f131-0fce-4b6f-8500-c1d701bb3cf8,Registration of Translated and Rotated Images Using Finite Fourier Transforms,1987,IEEE Transactions on Pattern Analysis and Machine Intelligence,398,92
00e8bc5b-9458-4a7c-b506-f428f444db5c,Just-In-Time Code Reuse: On the Effectiveness of Fine-Grained Address Space Layout Randomization,2013,ieee symposium on security and privacy,299,80
00f190f5-6c08-466f-ab7d-6840f0342106,A Parallel Algorithm for the Efficient Solution of a General Class of Recurrence Equations,1973,IEEE Transactions on Computers,1264,171
00f4c1d6-7224-4c69-8bf7-08f1478594dc,TaintDroid: an information flow tracking system for real-time privacy monitoring on smartphones,2014,Communications of The ACM,2299,380
011273cc-312f-4b1d-a1cb-ca65a5808338,New trends in high performance computing,2001,parallel computing,1659,282
011d7883-14a9-438c-98af-df7374058a85,A Fast Monte-Carlo Test for Primality,1977,SIAM Journal on Computing,646,57
012684bd-4559-4c84-940c-736834718cef,Semantics of context-free languages,1968,Theory of Computing Systems \/ Mathematical Systems Theory,2107,293
012f1cae-37e1-47ef-b9d1-1b383688be93,A fast and simple randomized parallel algorithm for the maximal independent set problem,1985,Journal of Algorithms,659,138
01471cae-0852-4a80-8ae0-bd6019cadcf3,Self-adaptive software: Landscape and research challenges,2009,ACM Transactions on Autonomous and Adaptive Systems,1158,198
014a9b2b-bc17-4c1d-957a-ecc49fd8b565,System Level Simulation of LTE Networks,2010,vehicular technology conference,492,77
015086f3-b9a3-45ad-9551-93a4655b20f5,Classification using discriminative restricted Boltzmann machines,2008,international conference on machine learning,457,109
01552569-8c51-420e-bf09-20846b6692fc,Mobility prediction and routing in ad hoc wireless networks,2001,International Journal of Network Management,684,133
01560f8c-6781-4f53-9491-15d238c11431,Negotiation and cooperation in multi-agent environments,1997,Artificial Intelligence,591,69
01570ac6-ab0a-4e78-a145-d65ff4e4ec22,Probabilistic neural networks,1990,Neural Networks,4161,374
01685c08-98ef-445b-ad28-3d3f879e8de0,A new rate control scheme using quadratic rate distortion model,1997,IEEE Transactions on Circuits and Systems for Video Technology,349,212
017ab0f3-9fbf-4412-aaf8-1738ce1d0a73,Andromaly: a behavioral malware detection framework for android devices,2012,intelligent information systems,476,92
01a002a5-f4c8-42fd-b840-c980492e0fcb,ATLAS: A scalable and high-performance scheduling algorithm for multiple memory controllers,2010,high-performance computer architecture,353,90
01b00e66-1524-4925-8c90-647a6349f990,Model-based feedback in the language modeling approach to information retrieval,2001,conference on information and knowledge management,777,201
01b486c4-8955-403b-a0c6-1de74298b215,A tutorial on support vector regression,2004,Statistics and Computing,7651,834
01ba8f15-a3b0-426d-8f5e-f6dc7aa0d481,Energy-aware lossless data compression,2006,ACM Transactions on Computer Systems,555,47
01cb1b96-89ea-41a1-8a44-a876b7bf9cb1,Regular and irregular progressive edge-growth tanner graphs,2005,IEEE Transactions on Information Theory,1300,297
01d3f80e-481a-4d6f-8771-d8e27c669569,Net generation or Digital Natives: Is there a distinct new generation entering university?,2010,Computers in Education,751,41
01dd3731-a2f1-48c5-865a-cd51edeb4a50,The FRACTAL component model and its support in Java,2006,Software - Practice and Experience,811,128
01df6660-e54b-4cab-a20e-179393feb854,Mean shift analysis and applications,1999,international conference on computer vision,1335,175
